Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0 ,HOUR_5,HOUR_8,HOUR_18
Melanoma,2,CXCR47_siRNA,No_SDF1,2,504556,332127,246767,26678
Melanoma,2,CXCR47_siRNA,No_SDF1,3,482734,354265,285694,49147
Melanoma,2,CXCR47_siRNA,No_SDF1,4,492710,342632,342632,43396
Melanoma,2,Unstransfected,SDF1,1,401467,325864,237736,15473
Melanoma,2,Unstransfected,SDF1,2,418957,338591,227217,93845
Melanoma,2,Unstransfected,SDF1,3,391468,274383,239141,12837
Melanoma,2,Unstransfected,SDF1,4,391079,208813,61800,0
Melanoma,2,Scramble,SDF1,1,522296,401915,316214,38710
Melanoma,2,Scramble,SDF1,2,519524,386779,316245,56693
Melanoma,2,Scramble,SDF1,3,543142,403357,403354,41345
Melanoma,2,Scramble,SDF1,4,565500,397368,290244,48460
Melanoma,2,CXCR47_siRNA,SDF1,1,515081,369676,210994,23257
Melanoma,2,CXCR47_siRNA,SDF1,2,556775,309853,290220,27400
Melanoma,2,CXCR47_siRNA,SDF1,3,533863,292220,129928,34390
Melanoma,2,CXCR47_siRNA,SDF1,4,546946,352498,200376,0
Melanoma,3,Unstransfected,No_SDF1,1,527286,296819,98056,0
Melanoma,3,Unstransfected,No_SDF1,2,412908,228063,90114,0
Melanoma,3,Unstransfected,No_SDF1,3,508340,344721,210612,11590
Melanoma,3,Unstransfected,No_SDF1,4,440607,306358,143115,11573
Melanoma,3,Scramble,No_SDF1,1,552947,322732,167965,0
Melanoma,3,Scramble,No_SDF1,2,613704,397271,211797,0
Melanoma,3,Scramble,No_SDF1,3,484166,361046,281946,26056
Melanoma,3,Scramble,No_SDF1,4,499573,273915,95933,0
Melanoma,3,CXCR47_siRNA,No_SDF1,1,609944,411846,291279,40436
Melanoma,3,CXCR47_siRNA,No_SDF1,2,656176,422332,323858,83499
Melanoma,3,CXCR47_siRNA,No_SDF1,3,587318,490454,352837,92068
Melanoma,3,CXCR47_siRNA,No_SDF1,4,635414,530802,367782,91434
Melanoma,3,Unstransfected,SDF1,1,481989,314427,121067,0
Melanoma,3,Unstransfected,SDF1,2,519068,301858,138184,10201
Melanoma,3,Unstransfected,SDF1,3,495186,345237,217960,10108
Melanoma,3,Unstransfected,SDF1,4,442253,286661,162111,10279
Melanoma,3,Scramble,SDF1,1,491382,314614,212359,2507
Melanoma,3,Scramble,SDF1,2,558396,301076,162589,0
Melanoma,3,Scramble,SDF1,3,533474,453811,239445,27200
Melanoma,3,Scramble,SDF1,4,508153,232985,110549,2033
Melanoma,3,CXCR47_siRNA,SDF1,1,546167,302470,204767,24789
Melanoma,3,CXCR47_siRNA,SDF1,2,593604,381968,214364,29279
Melanoma,3,CXCR47_siRNA,SDF1,3,563597,457704,313976,78023
Melanoma,3,CXCR47_siRNA,SDF1,4,579521,351143,218657,15139
Melanoma,4,Unstransfected,No_SDF1,1,513536,270385,135761,3697
Melanoma,4,Unstransfected,No_SDF1,2,565289,267700,181131,0
Melanoma,4,Unstransfected,No_SDF1,3,525716,285718,220338,24294
Melanoma,4,Unstransfected,No_SDF1,4,414786,263372,163216,11637
Melanoma,4,Scramble,No_SDF1,1,714145,523254,284232,21419
Melanoma,4,Scramble,No_SDF1,2,679158,471426,262973,12552
Melanoma,4,Scramble,No_SDF1,3,568846,423318,307085,23120
Melanoma,4,Scramble,No_SDF1,4,513405,357192,235447,13143
Melanoma,4,CXCR47_siRNA,No_SDF1,1,646110,396300,216812,32560
Melanoma,4,CXCR47_siRNA,No_SDF1,2,618005,431443,234081,36589
Melanoma,4,CXCR47_siRNA,No_SDF1,3,588302,332468,263508,91137
Melanoma,4,CXCR47_siRNA,No_SDF1,4,601392,466055,347869,64470
Melanoma,4,Unstransfected,SDF1,1,405545,284797,150448,12832
Melanoma,4,Unstransfected,SDF1,2,416499,215322,33101,0
Melanoma,4,Unstransfected,SDF1,3,424990,335086,196855,10911
Melanoma,4,Unstransfected,SDF1,4,440645,310970,172249,11222
Melanoma,4,Scramble,SDF1,1,603366,419400,267455,12367
Melanoma,4,Scramble,SDF1,2,634705,429248,287504,14175
Melanoma,4,Scramble,SDF1,3,561803,403486,287768,13248
Melanoma,4,Scramble,SDF1,4,543816,294577,197593,11547
Melanoma,4,CXCR47_siRNA,SDF1,1,658356,524586,335335,63010
Melanoma,4,CXCR47_siRNA,SDF1,2,609537,426754,353773,91364
Melanoma,4,CXCR47_siRNA,SDF1,3,554977,405000,300843,45094
Melanoma,4,CXCR47_siRNA,SDF1,4,593877,437783,297332,81087
