"","Cell_type","Replicate","siRNA","Treatment","Intersection","Time_Period","Values"
"175","Melanocytes",2,"Scramble","SDF1",4,"HOUR_8",412982
"176","Melanocytes",2,"Scramble","SDF1",4,"HOUR_18",216414
"177","Melanocytes",2,"CXCR7_siRNA","SDF1",1,"HOUR_0",660474
"178","Melanocytes",2,"CXCR7_siRNA","SDF1",1,"HOUR_5",470371
"179","Melanocytes",2,"CXCR7_siRNA","SDF1",1,"HOUR_8",355806
"180","Melanocytes",2,"CXCR7_siRNA","SDF1",1,"HOUR_18",96637
"181","Melanocytes",2,"CXCR7_siRNA","SDF1",2,"HOUR_0",652963
"182","Melanocytes",2,"CXCR7_siRNA","SDF1",2,"HOUR_5",490428
"183","Melanocytes",2,"CXCR7_siRNA","SDF1",2,"HOUR_8",329265
"184","Melanocytes",2,"CXCR7_siRNA","SDF1",2,"HOUR_18",100940
"185","Melanocytes",2,"CXCR7_siRNA","SDF1",3,"HOUR_0",616238
"186","Melanocytes",2,"CXCR7_siRNA","SDF1",3,"HOUR_5",421470
"187","Melanocytes",2,"CXCR7_siRNA","SDF1",3,"HOUR_8",356795
"188","Melanocytes",2,"CXCR7_siRNA","SDF1",3,"HOUR_18",132090
"189","Melanocytes",2,"CXCR7_siRNA","SDF1",4,"HOUR_0",630827
"190","Melanocytes",2,"CXCR7_siRNA","SDF1",4,"HOUR_5",574517
"191","Melanocytes",2,"CXCR7_siRNA","SDF1",4,"HOUR_8",433429
"192","Melanocytes",2,"CXCR7_siRNA","SDF1",4,"HOUR_18",153537
"193","Melanocytes",3,"Unstransfected","No_SDF1",1,"HOUR_0",590519
"194","Melanocytes",3,"Unstransfected","No_SDF1",1,"HOUR_5",539295
"195","Melanocytes",3,"Unstransfected","No_SDF1",1,"HOUR_8",473884
"196","Melanocytes",3,"Unstransfected","No_SDF1",1,"HOUR_18",337523
"197","Melanocytes",3,"Unstransfected","No_SDF1",2,"HOUR_0",653591
"198","Melanocytes",3,"Unstransfected","No_SDF1",2,"HOUR_5",569275
"199","Melanocytes",3,"Unstransfected","No_SDF1",2,"HOUR_8",467126
"200","Melanocytes",3,"Unstransfected","No_SDF1",2,"HOUR_18",431277
"201","Melanocytes",3,"Unstransfected","No_SDF1",3,"HOUR_0",612798
"202","Melanocytes",3,"Unstransfected","No_SDF1",3,"HOUR_5",565613
"203","Melanocytes",3,"Unstransfected","No_SDF1",3,"HOUR_8",485492
"204","Melanocytes",3,"Unstransfected","No_SDF1",3,"HOUR_18",384319
"205","Melanocytes",3,"Unstransfected","No_SDF1",4,"HOUR_0",694345
"206","Melanocytes",3,"Unstransfected","No_SDF1",4,"HOUR_5",594877
"207","Melanocytes",3,"Unstransfected","No_SDF1",4,"HOUR_8",433080
"208","Melanocytes",3,"Unstransfected","No_SDF1",4,"HOUR_18",365469
"209","Melanocytes",3,"Scramble","No_SDF1",1,"HOUR_0",609945
"210","Melanocytes",3,"Scramble","No_SDF1",1,"HOUR_5",503312
"211","Melanocytes",3,"Scramble","No_SDF1",1,"HOUR_8",495881
