Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0,HOUR_5,HOUR_8,HOUR_18
Melanocytes,3,Scramble,SDF1,3,618995,451626,411038,310461
Melanocytes,3,Scramble,SDF1,4,607385,492407,436366,262957
Melanocytes,3,CXCR4_siRNA,SDF1,1,574667,437831,417567,292579
Melanocytes,3,CXCR4_siRNA,SDF1,2,654577,512858,459917,305582
Melanocytes,3,CXCR4_siRNA,SDF1,3,640905,568874,423181,342797
Melanocytes,3,CXCR4_siRNA,SDF1,4,670562,590031,490981,263516
Melanocytes,4,Unstransfected,No_SDF1,1,595675,524420,402430,371761
Melanocytes,4,Unstransfected,No_SDF1,2,648220,531252,475156,431394
Melanocytes,4,Unstransfected,No_SDF1,3,585129,542934,455718,236442
Melanocytes,4,Unstransfected,No_SDF1,4,618129,537767,531256,435204
Melanocytes,4,Scramble,No_SDF1,1,597594,524773,425455,241950
Melanocytes,4,Scramble,No_SDF1,2,576824,544558,475046,345029
Melanocytes,4,Scramble,No_SDF1,3,490641,375312,368750,301570
Melanocytes,4,Scramble,No_SDF1,4,572285,495819,322128,305448
Melanocytes,4,CXCR4_siRNA,No_SDF1,1,664352,530684,477543,283439
Melanocytes,4,CXCR4_siRNA,No_SDF1,2,659974,577938,466237,202972
Melanocytes,4,CXCR4_siRNA,No_SDF1,3,630855,438924,406198,139580
Melanocytes,4,CXCR4_siRNA,No_SDF1,4,664377,473415,412083,332644
Melanocytes,4,Unstransfected,SDF1,1,724340,622794,502313,300222
Melanocytes,4,Unstransfected,SDF1,2,546335,485622,433760,367307
Melanocytes,4,Unstransfected,SDF1,3,570115,509163,451120,312982
Melanocytes,4,Unstransfected,SDF1,4,623611,598530,561915,321827
Melanocytes,4,Scramble,SDF1,1,530301,447483,411203,310285
Melanocytes,4,Scramble,SDF1,2,521296,458407,399889,313745
Melanocytes,4,Scramble,SDF1,3,513332,372238,274653,264197
Melanocytes,4,Scramble,SDF1,4,554845,501935,420662,309655
Melanocytes,4,CXCR4_siRNA,SDF1,1,661399,598609,510266,328013
Melanocytes,4,CXCR4_siRNA,SDF1,2,673981,524261,388572,289669
Melanocytes,4,CXCR4_siRNA,SDF1,3,600998,496123,438731,221133
Melanocytes,4,CXCR4_siRNA,SDF1,4,656205,587139,513243,243427
